번호,제목,저자,소속(발행)기관,발표년도,논문집/자료집,논문 URL 주소
1,제5차 지구시민사회포럼 개최와 해양환경·자원관리 분야의 시사점,최지연,韓國海洋水産開發院,2004,(월간) 해양수산,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=87044bf26956b29cffe0bdc3ef48d419
2,우리나라 해양 생물자원의 실태와 보존 방향,홍재상(Jae-Sang HONG),한국해양수산개발원,1993,해양정책연구,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=67cce6a969ede6f7ffe0bdc3ef48d419
3,수거된 해양패기물 자원화 기술 개발(I) - 해양패기물의 폐기물 연료화 -,"길상인,윤진한,최연석,강창구,유정석,Keel,Sang-In,Yun,Jin-Han,Choi,Yeon-Seok,Kang,Chang-Gu,Yu,Jeong-Seok",한국해양환경•에너지학회,2002,한국해양환경·에너지학회지,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a0adc9ece699851e6aae8a972f9116fb
4,해양관광자원의 검색어 지수와 노출량 간의 관계 -여수해양관광을 중심으로-,"이승현,하지영,박향자,김덕현",한국해양관광학회,2019,해양관광학연구,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1edb070e3beff71fe9810257f7042666
5,해양낚시의 자원 및 생태환경적 문제와 제도적 관리의 필요성,"이상고(Sang-Go LEE), 박정석(Jeong-Seok PARK)",한국수산해양교육학회,2003,水産海洋敎育硏究,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=693cdda78d7af821ffe0bdc3ef48d419
6,제주도 주변해역에서 발생하는 해양사고의 유형과 원인에 관한 연구,"안영화,최찬문,김동근",제주대학교 해양연구소,2001,해양자원연구소연구보고,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=32863d598ec6a56affe0bdc3ef48d419
7,기후변화가 해양생물자원에 미치는 영향 : 체제 전환(regime shift)과 일본에서의 연구 현황을 중심으로,원남일,한국해양수산개발원,2011,계간 해양수산,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e90c74faa6eaa462ffe0bdc3ef48d419
8,해양 및 수산자원 관리를 위한 해양경계정보 구축방안에 관한 연구,"김종규(Jong-Kyu KIM), 김정현(Jung-Hyun KIM)",한국수산해양교육학회,2005,水産海洋敎育硏究,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d487e80bc91ebb93ffe0bdc3ef48d419
9,未來의 海洋資源 開發,金成貴,한국해양수산개발원,1990,해양정책연구,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e053c1568cdb1f9cffe0bdc3ef48d419
10,국가 해수자원으로서 해양심층수의 공적 관리를 위한 법제적 논의,안기수(Kisoo AHN),한국해양환경·에너지학회,2016,한국해양환경공학회 학술대회논문집,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c47f7093f0e550934884a65323211ff0
11,해양심층수 에너지자원 이용 타당성 분석 연구,"김정협(Jeong-Hyop Kim), 김광태(Gwang Tae Kim), 박세헌(Se-Hun Park), 오위영(Wee-Yeong Oh), 김현주(Hyeon-Ju Kim)",한국해양환경·에너지학회,2012,한국해양환경·에너지학회지,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=553d20d668277201ffe0bdc3ef48d419
12,우리나라 海洋生態資源의 現況 및 價値,李興東,韓國海洋水産開發院,2000,(월간) 해양수산,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2cc330dffeaba081ffe0bdc3ef48d419
13,우리나라 관할해역 내 해양자원 관리현황 및 정책 개선방향,박수진(Su Jin Park),한국해양환경·에너지학회,2014,한국해양환경공학회 학술대회논문집,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=282dfd2189931dee6aae8a972f9116fb
14,북극 석유자원개발과 해양플랜트 산업의 현황 및 전망,"신효진,문영준,임종세",한국자원공학회,2018,한국자원공학회지,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fa23a2c7026d79dbe9810257f7042666
15,우리나라 海洋生態資源의 現況 및 價値,李興東,韓國海洋水産開發院,1998,(월간) 해양수산,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6fe5d26d9f55737affe0bdc3ef48d419
16,수산자원 보호를 위한 바다낚시 규제의 필요성과 해양경찰의 역할 모색,이기수,한국해양경찰학회,2020,한국해양경찰학회보,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7ba62b1b685a43d9c85d2949c297615a
17,해양자원의 웰니스 산업적 이용가능성과 해외치유관광 개발 전략,채동렬(Chae Dong Ryul),한국해양관광학회,2017,해양관광학연구,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ee2270811362e5057f7a54760bb41745
18,해양심층수와 지하염수 자원의 특성,"문덕수(D.S. Moon), 정동호(D.H. Jung), 김현주(H.J. Kim), 신필권(P.K. Shin)",한국해양환경·에너지학회,2004,한국해양환경·에너지학회지,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=15d0e8054b146f6bffe0bdc3ef48d419
19,해양심층수 에너지자원 이용 타당성 분석 연구,"김정협,김광태,박세헌,오위영,김현주,Kim,,Jeong-Hyop,Kim,,Gwang-Tae,Park,,Se-Hun,Oh,,Wee-Yeong,Kim,,Hyeon-Ju",한국해양환경•에너지학회,2012,한국해양환경공학회지,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4d7bd387e75b4833b7998d826d417196
20,海洋에너지資源 開發硏究의 現狀과 展望,安熙道,한국해양수산개발원,1989,해양정책연구,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=258ea3672c4812cdffe0bdc3ef48d419
21,제5차 지구시민사회포럼 개최와 해양환경·자원관리 분야의 시사점,최지연,韓國海洋水産開發院,2004,(월간) 해양수산,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=87044bf26956b29cffe0bdc3ef48d419
22,우리나라 해양 생물자원의 실태와 보존 방향,홍재상(Jae-Sang HONG),한국해양수산개발원,1993,해양정책연구,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=67cce6a969ede6f7ffe0bdc3ef48d419
23,수거된 해양패기물 자원화 기술 개발(I) - 해양패기물의 폐기물 연료화 -,"길상인,윤진한,최연석,강창구,유정석,Keel,Sang-In,Yun,Jin-Han,Choi,Yeon-Seok,Kang,Chang-Gu,Yu,Jeong-Seok",한국해양환경•에너지학회,2002,한국해양환경·에너지학회지,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a0adc9ece699851e6aae8a972f9116fb
24,해양관광자원의 검색어 지수와 노출량 간의 관계 -여수해양관광을 중심으로-,"이승현,하지영,박향자,김덕현",한국해양관광학회,2019,해양관광학연구,http://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1edb070e3beff71fe9810257f7042666
